GeneID,Length,logFC,logCPM,F,PValue,FDR,
,,,,,,,
LamC,2133,0.12767164,6.758480824,0.430591938,0.535068556,0.904451379,
,,,,,,,
His3:CG33866_v3,212,0.080702876,6.510607549,0.430357098,0.535176347,0.904451379,
,,,,,,,
CG6000,479,0.10661228,2.521913989,0.429883874,0.535393687,0.904451379,
,,,,,,,
Ef1gamma,1484,0.054501342,10.357489,0.429858729,0.535405241,0.904451379,
,,,,,,,
Dak1,1711,-0.065087349,7.704936124,0.429050654,0.535776791,0.904451379,
,,,,,,,
CG1516,3931,0.077017273,9.203699876,0.428891113,0.535850209,0.904451379,
,,,,,,,
blp,670,-0.059992801,5.551264428,0.428774897,0.535903701,0.904451379,
,,,,,,,
Ns1,1824,0.065099608,7.692813678,0.428179072,0.536178118,0.904451379,
,,,,,,,
CG1718_v2,2298,-0.091162869,2.251459221,0.427986384,0.536266923,0.904451379,
,,,,,,,
l(1)G0469,1768,0.093885849,3.69997701,0.427954768,0.536281497,0.904451379,
,,,,,,,
CG7546_v2,2456,-0.098920286,7.659748773,0.427646981,0.536423418,0.904451379,
,,,,,,,
CG31139,2164,0.057831275,5.501932464,0.427284859,0.536590487,0.904451379,
,,,,,,,
Rad1,1403,0.058454899,6.035367282,0.427118562,0.536667245,0.904451379,
,,,,,,,
CG12025_v3,612,0.134384563,2.053728245,0.427059061,0.536694715,0.904451379,
,,,,,,,
Nup98-96,6412,0.114119133,9.104042452,0.426999294,0.53672231,0.904451379,
,,,,,,,
CG5510,1567,-0.068363474,6.985518175,0.426565618,0.536922626,0.904451379,
,,,,,,,
Alh,1895,0.059643306,7.18900713,0.426523732,0.536941982,0.904451379,
,,,,,,,
CG15093,1216,-0.110104151,3.624459722,0.426348415,0.537023009,0.904451379,
,,,,,,,
CG8611,2518,0.055101334,5.831376373,0.42627717,0.537055944,0.904451379,
,,,,,,,
Mio,4178,-0.123035934,6.22150291,0.426188287,0.537097038,0.904451379,
,,,,,,,
Swip-1,1832,0.058793816,8.070809615,0.42618725,0.537097518,0.904451379,
,,,,,,,
CG15436_v4,1367,-0.069217576,3.779003244,0.425999355,0.53718441,0.904451379,
,,,,,,,
unk,3475,0.061154063,7.585432967,0.425784723,0.537283701,0.904451379,
,,,,,,,
POSH,3978,0.072303089,7.62019003,0.424937933,0.537675792,0.904451379,
,,,,,,,
rgr,1504,0.096911322,2.81243503,0.423960889,0.538128905,0.904451379,
,,,,,,,
Syx18 eval 2e-16,275,-0.081500552,2.661556529,0.423952631,0.538132738,0.904451379,
,,,,,,,
Pepck_v2,269,0.074622,6.112178908,0.423795252,0.538205796,0.904451379,
,,,,,,,
CaMKII,2044,0.098707319,7.705563271,0.423779246,0.538213227,0.904451379,
,,,,,,,
phr,1908,0.067999308,5.551716035,0.423742862,0.538230121,0.904451379,
,,,,,,,
Fen1,1386,-0.076317441,7.377691914,0.423648309,0.538274028,0.904451379,
,,,,,,,
oxt,4021,-0.054804663,7.136108609,0.423416322,0.538381784,0.904451379,
,,,,,,,
Moe,3036,0.053723201,8.624725021,0.423250575,0.538458799,0.904451379,
,,,,,,,
Nacalpha,990,0.066386318,9.432628595,0.422420791,0.53884469,0.904451379,
,,,,,,,
Gel,2466,-0.10352491,2.889201699,0.422133765,0.5389783,0.904451379,
,,,,,,,
Sodh-2,1049,0.130395087,2.226854216,0.421745429,0.539159176,0.904451379,
,,,,,,,
CG5033,2527,0.061035317,7.661236967,0.421690814,0.539184623,0.904451379,
,,,,,,,
pico,4112,0.065683158,7.880270868,0.42116485,0.539429819,0.904451379,
,,,,,,,
msps,803,-0.064290348,7.408715706,0.421141885,0.53944053,0.904451379,
,,,,,,,
Cchl,1005,0.058712764,6.869139083,0.421001751,0.539505898,0.904451379,
,,,,,,,
Diap2,2480,-0.070166925,7.772011142,0.420990073,0.539511346,0.904451379,
,,,,,,,
oaf,1622,-0.071484766,4.519784216,0.420876468,0.539564352,0.904451379,
,,,,,,,
CG6654_v4,2004,-0.063126151,5.919045595,0.420760496,0.539618474,0.904451379,
,,,,,,,
Det,545,0.056925771,6.111189168,0.420024491,0.539962202,0.904451379,
,,,,,,,
CG8963,1308,-0.050712803,10.16626926,0.419977044,0.539984376,0.904451379,
,,,,,,,
Smr,8705,0.054922376,9.75456918,0.419962628,0.539991114,0.904451379,
,,,,,,,
CG31036_v3,1144,0.155398912,1.104954009,0.419626063,0.540148459,0.904451379,
,,,,,,,
Pih1D1,1223,0.064809748,5.940882647,0.419273657,0.540313309,0.904451379,
,,,,,,,
CG14270,3344,0.056334538,7.192096719,0.419141653,0.540375084,0.904451379,
,,,,,,,
HDAC6,4275,0.068335651,8.525592926,0.418462821,0.540692987,0.904451379,
,,,,,,,
glob1_v2,529,0.19696085,2.726186363,0.418356292,0.54074291,0.904451379,
,,,,,,,
CG9515,654,-0.082680522,2.8262064,0.418205814,0.540813444,0.904451379,
,,,,,,,
p47,1453,0.057489175,7.909579768,0.418015516,0.54090267,0.904451379,
,,,,,,,
Snr1,2630,0.058580835,7.518374296,0.417738226,0.541032737,0.904451379,
,,,,,,,
CG11417,2240,0.060600857,6.493012452,0.417416031,0.541183945,0.904451379,
,,,,,,,
aph-1,1120,-0.067704113,7.716393153,0.417191825,0.541289217,0.904451379,
,,,,,,,
eas,906,-0.084697281,4.394236847,0.417114668,0.541325455,0.904451379,
,,,,,,,
CG30022,1270,-0.074727812,6.576535304,0.416373831,0.541673641,0.904451379,
,,,,,,,
put,4188,0.120390585,5.347042292,0.415746843,0.54196867,0.904451379,
,,,,,,,
Aprt,814,0.070009115,3.963544679,0.41525146,0.542202002,0.904451379,
,,,,,,,
CG11035,932,-0.097340234,3.465273287,0.415224659,0.542214632,0.904451379,
,,,,,,,
betaggt-I,1453,0.062910595,7.904791988,0.415211332,0.542220912,0.904451379,
,,,,,,,
CG6597,912,0.055911318,7.977508929,0.415094136,0.542276146,0.904451379,
,,,,,,,
amx,833,0.063496015,5.217295336,0.414898507,0.542368371,0.904451379,
,,,,,,,
CG43367,8787,0.100548944,7.039461408,0.414767395,0.542430198,0.904451379,
,,,,,,,
CG9548,473,0.060991186,4.501025753,0.414556135,0.54252985,0.904451379,
,,,,,,,
syntaxin-8 [Culex quinquefasciatus] eval 6e-32,586,-0.069641534,5.429225178,0.414432018,0.542588413,0.904451379,
,,,,,,,
holn1,1297,0.066368485,5.54246531,0.414373553,0.542616004,0.904451379,
,,,,,,,
RhoBTB,3649,-0.066770651,4.473732482,0.413198481,0.54317114,0.904761467,
,,,,,,,
CG6020,1350,-0.099880944,6.803966684,0.412859019,0.543331724,0.904761467,
,,,,,,,
path,2415,-0.075652715,8.521965304,0.412723583,0.543395819,0.904761467,
,,,,,,,
alphaTub84B_v2,356,0.057765042,9.68625318,0.412661315,0.543425293,0.904761467,
,,,,,,,
Ppcdc,2272,0.085770734,6.016051152,0.412529772,0.543487567,0.904761467,
,,,,,,,
CG6654_v6,2014,0.058797437,7.079274056,0.412068446,0.543706079,0.904896951,
,,,,,,,
Xe7,4535,0.056051314,7.093537873,0.411695244,0.543882979,0.904963132,
,,,,,,,
CG9917,1748,0.05323832,8.32294306,0.410766155,0.54432388,0.905468436,
,,,,,,,
CG5555,1918,-0.052543424,6.783902963,0.410090198,0.54464511,0.905774466,
,,,,,,,
nsl1,7156,0.059218574,9.743291019,0.408962251,0.545181989,0.906144601,
,,,,,,,
CG5455_v2,1118,0.134040757,1.083122742,0.408710156,0.545302127,0.906144601,
,,,,,,,
CG5026,2249,-0.057299705,6.318407068,0.408536772,0.545384787,0.906144601,
,,,,,,,
Atg14,1771,0.093025722,7.491795186,0.407878366,0.545698905,0.906144601,
,,,,,,,
RasGAP1,4581,-0.05963363,5.67809624,0.407727116,0.545771117,0.906144601,
,,,,,,,
sip2,549,0.059380636,6.801817372,0.407668734,0.545798995,0.906144601,
,,,,,,,
pr,913,0.055492972,6.721844508,0.407305885,0.545972328,0.906144601,
,,,,,,,
NtR_v5,864,-0.090063222,3.488088137,0.407272371,0.545988343,0.906144601,
,,,,,,,
trbl_v2,1248,0.074890934,7.715203117,0.406981532,0.546127365,0.906144601,
,,,,,,,
MED17,1959,0.059880453,5.875437602,0.406527079,0.546344739,0.906144601,
,,,,,,,
alphaTub84B_v3,202,0.06259525,9.130350923,0.405514583,0.546829666,0.906144601,
,,,,,,,
Kdm4B,10323,0.089742139,8.362509491,0.405442696,0.546864129,0.906144601,
,,,,,,,
CG1806,1646,0.056763077,7.961170974,0.405352648,0.546907305,0.906144601,
,,,,,,,
TfIIS_v2,527,0.095101142,5.918956032,0.405194159,0.546983313,0.906144601,
,,,,,,,
Rad51D,809,0.064087826,3.802603187,0.405156435,0.547001408,0.906144601,
,,,,,,,
CG45050,4752,-0.05580531,8.212227224,0.405024461,0.54706472,0.906144601,
,,,,,,,
mst,1666,0.067258997,4.537086339,0.404626701,0.54725563,0.90623335,
,,,,,,,
snRNP-U1-70K,1542,0.054440417,6.906738551,0.404324428,0.5474008,0.906246332,
,,,,,,,
CG5359,1404,0.077559351,5.282227427,0.403423699,0.547833848,0.906735782,
,,,,,,,
CG45186_v3,7503,-0.054032494,6.560198531,0.402415485,0.548319399,0.907280263,
,,,,,,,
Pex19,1123,0.053056764,6.441030686,0.401906979,0.548564625,0.907280263,
,,,,,,,
CG3838_v2,1109,0.129778551,1.577440974,0.401884903,0.548575276,0.907280263,
,,,,,,,
Mocs1,1502,0.079861604,2.776963481,0.401156578,0.548926912,0.907634351,
,,,,,,,
CG5116,1965,0.055113648,5.792191967,0.399973379,0.549499142,0.907952837,
,,,,,,,
DNA repair protein xp-c / rad4 [Culex quinquefasciatus] eval 2e-21,1027,-0.05606803,6.45477032,0.399643453,0.54965892,0.907952837,
,,,,,,,
Syx5,1496,0.057032488,7.09112161,0.399514518,0.549721387,0.907952837,
,,,,,,,
CG7987,4791,-0.056914537,9.492347452,0.398948699,0.549995689,0.907952837,
,,,,,,,
CG11284,1317,0.055679583,5.515514882,0.398818979,0.550058615,0.907952837,
,,,,,,,
CG3104,1334,0.053227744,5.701180669,0.398589316,0.550170059,0.907952837,
,,,,,,,
l(1)1Bi,3720,0.064899981,7.832361729,0.398443601,0.550240791,0.907952837,
,,,,,,,
for,4791,-0.153854348,8.29479447,0.398281441,0.550319527,0.907952837,
,,,,,,,
Mcm5,712,-0.052628266,6.843672553,0.398202562,0.550357834,0.907952837,
,,,,,,,
Wwox,2329,0.058879928,5.597584472,0.39791626,0.550496923,0.90795531,
,,,,,,,
CG32281,1537,-0.072799327,5.188464307,0.397605266,0.550648089,0.907977696,
,,,,,,,
Inx3,1774,0.085050668,4.246654952,0.39679436,0.551042648,0.908114931,
,,,,,,,
CG10098,2382,-0.054572171,8.132157129,0.396539014,0.551167009,0.908114931,
,,,,,,,
TMS1,604,-0.065297602,5.154678392,0.396062027,0.551399471,0.908114931,
,,,,,,,
CG5642,1882,0.061929946,8.519624851,0.395822569,0.551516248,0.908114931,
,,,,,,,
CG9350,675,0.066732712,5.421561545,0.395724884,0.551563901,0.908114931,
,,,,,,,
l(3)72Dn,2111,-0.087300305,6.112043855,0.395237037,0.551802008,0.908114931,
,,,,,,,
CG10399,1027,0.064087393,4.524711052,0.395221638,0.551809528,0.908114931,
,,,,,,,
RhoGAP68F,3525,0.051897288,8.581461328,0.394993572,0.551920917,0.908114931,
,,,,,,,
CG1319,860,-0.058391438,5.619857796,0.394201381,0.552308188,0.908114931,
,,,,,,,
AAEL005717-PA [Aedes aegypti] eval 7e-64,1438,0.053231812,5.70250141,0.393991339,0.552410962,0.908114931,
,,,,,,,
pch2,1328,-0.053871635,6.304112348,0.393910269,0.552450641,0.908114931,
,,,,,,,
CG17931 eval 0.003,291,0.06728345,5.653785554,0.393792578,0.552508253,0.908114931,
,,,,,,,
h,2427,0.057783533,7.883324421,0.393038672,0.552877599,0.908114931,
,,,,,,,
ATPsyn-d,608,0.062062328,8.075249676,0.392871793,0.552959423,0.908114931,
,,,,,,,
Ho,946,-0.059661187,4.320815581,0.392681664,0.553052677,0.908114931,
,,,,,,,
trbl_v3,1974,0.054091866,7.160564398,0.392360909,0.553210073,0.908114931,
,,,,,,,
NDUFA8,771,0.059245394,5.72040945,0.3918128,0.553479247,0.908114931,
,,,,,,,
lola eval 3e-07,241,0.159452365,0.779796886,0.391162989,0.553798714,0.908114931,
,,,,,,,
cos,4509,-0.057606777,7.380103248,0.391120683,0.553819526,0.908114931,
,,,,,,,
l(2)35Bd,1378,-0.075730677,6.615451104,0.390643121,0.55405457,0.908114931,
,,,,,,,
CG3842,1669,-0.071225421,5.700329592,0.390546743,0.55410203,0.908114931,
,,,,,,,
FBgn0031868 eval 0.003,900,0.056230368,5.50039443,0.390436308,0.554156422,0.908114931,
,,,,,,,
CG1868,2334,-0.060391605,7.514829829,0.390283121,0.554231888,0.908114931,
,,,,,,,
CG2224,1702,-0.079443257,6.315347378,0.389954148,0.554394027,0.908114931,
,,,,,,,
CG7747,1659,0.064179085,5.569011337,0.389903305,0.554419094,0.908114931,
,,,,,,,
CG8435,1038,-0.057086204,5.603281568,0.389893729,0.554423815,0.908114931,
,,,,,,,
CG17168,1537,0.055292338,6.402083093,0.38953759,0.554599472,0.908114931,
,,,,,,,
Unc-13-4B_v2,4256,-0.077328458,5.87352545,0.388231567,0.555244615,0.908114931,
,,,,,,,
tho2,4280,0.095325669,7.384054732,0.387922669,0.55539743,0.908114931,
,,,,,,,
Kdm2,4330,-0.054616838,7.762025147,0.387887236,0.555414964,0.908114931,
,,,,,,,
CG17333,802,0.058567375,6.18808575,0.38771756,0.555498946,0.908114931,
,,,,,,,
Mcm3,2544,0.052028276,8.88721681,0.387269613,0.555720786,0.908114931,
,,,,,,,
SCOT,2773,-0.053207869,6.156805309,0.386342437,0.556180538,0.908114931,
,,,,,,,
sds22,2692,0.052928483,7.55435266,0.385666432,0.556516239,0.908114931,
,,,,,,,
Gclm,1623,0.056371019,6.768113045,0.385572315,0.55656301,0.908114931,
,,,,,,,
CG31678,4646,-0.058368077,6.97809631,0.385393734,0.556651779,0.908114931,
,,,,,,,
Eip74EF,1278,-0.114082294,2.183073707,0.385185286,0.556755429,0.908114931,
,,,,,,,
puc,3268,-0.120247842,7.457349558,0.384958108,0.556868438,0.908114931,
,,,,,,,
CG17698,3716,-0.075074148,6.889719164,0.384892572,0.556901048,0.908114931,
,,,,,,,
CG14894,413,-0.059764429,4.144113374,0.384817474,0.556938421,0.908114931,
,,,,,,,
CG1738,795,-0.081048304,5.07415805,0.384509051,0.557091962,0.908114931,
,,,,,,,
CG9890,1393,-0.085343076,5.316300597,0.384499089,0.557096922,0.908114931,
,,,,,,,
Oseg6,4188,0.061485833,4.294556103,0.38426567,0.557213184,0.908114931,
,,,,,,,
Arpc4,1261,-0.071671656,5.3974768,0.384065489,0.557312931,0.908114931,
,,,,,,,
hkb,861,-0.076789528,3.380674033,0.384047723,0.557321785,0.908114931,
,,,,,,,
pad,2982,0.068297486,6.526514203,0.383843152,0.557423761,0.908114931,
,,,,,,,
CG9253,2842,0.05043161,7.526595013,0.383830435,0.557430101,0.908114931,
,,,,,,,
CG15073,1710,0.062132363,5.540127551,0.38349142,0.557599184,0.908114931,
,,,,,,,
H2.0,566,0.085221418,2.272221924,0.383209649,0.557739798,0.908114931,
,,,,,,,
CG8320,686,-0.05825678,4.906904994,0.383073296,0.557807869,0.908114931,
,,,,,,,
dre4,3432,0.079747395,8.50957195,0.38294172,0.557873571,0.908114931,
,,,,,,,
eIF4AIII_v2,486,0.058380066,5.725067144,0.382590919,0.558048822,0.908114931,
,,,,,,,
X11L,3377,0.087103346,7.472926091,0.382101979,0.558293275,0.908114931,
,,,,,,,
mxc,5504,0.078444513,7.95313629,0.382026768,0.558330897,0.908114931,
,,,,,,,
cni,799,-0.067497082,5.346782787,0.381803505,0.55844261,0.908114931,
,,,,,,,
Dab,11652,-0.103584396,8.014718093,0.381685917,0.558501465,0.908114931,
,,,,,,,
Ndfip,1687,-0.051443218,6.701485116,0.38140427,0.558642488,0.908114931,
,,,,,,,
HP1b,1451,0.068659752,8.404847755,0.381263642,0.558712929,0.908114931,
,,,,,,,
Mhcl,7835,-0.077042492,7.408587213,0.38054152,0.559074933,0.908293869,
,,,,,,,
Pka-C1,2849,0.109053715,7.373634441,0.380374793,0.559158583,0.908293869,
,,,,,,,
CG3358,954,-0.073905684,3.721897239,0.380220648,0.559235943,0.908293869,
,,,,,,,
CG6928,2156,0.058949543,4.679428637,0.379739078,0.559477772,0.908463046,
,,,,,,,
CG12016,1745,-0.070610603,6.032126013,0.378852459,0.559923571,0.908646088,
,,,,,,,
Fs(2)Ket,3815,-0.055791449,9.042254151,0.378822161,0.559938818,0.908646088,
,,,,,,,
CG9662,518,-0.055868694,5.160386748,0.378693485,0.560003582,0.908646088,
,,,,,,,
Act42A,217,0.076672838,7.598837594,0.37791587,0.560395297,0.908961448,
,,,,,,,
Mes-4,2453,0.068848409,8.449909106,0.377750254,0.560478798,0.908961448,
,,,,,,,
CG3918,750,0.059143496,5.105760263,0.377032045,0.560841206,0.908961448,
,,,,,,,
Ubi-p5E,256,0.055428219,6.156257927,0.376972666,0.560871191,0.908961448,
,,,,,,,
CG9331,624,-0.157473043,1.326573297,0.37691777,0.560898914,0.908961448,
,,,,,,,
CdGAPr,1626,0.207579548,2.170672902,0.376534524,0.561092541,0.908961448,
,,,,,,,
Pal2,8667,-0.110390246,7.295937845,0.3763588,0.561181369,0.908961448,
,,,,,,,
CG2051,1799,0.052738491,7.77121044,0.375315238,0.561709487,0.908961448,
,,,,,,,
dysc_v3,1067,0.12966594,1.700439312,0.374461816,0.562142151,0.908961448,
,,,,,,,
CG2862_v2,632,-0.081074068,4.037890483,0.374322829,0.562212679,0.908961448,
,,,,,,,
CG17260,1241,0.057783079,5.300087517,0.374220352,0.562264693,0.908961448,
,,,,,,,
fbl,1880,0.058564515,6.894824981,0.373911002,0.562421769,0.908961448,
,,,,,,,
CG7488,1051,0.065233527,5.455767546,0.373687081,0.562535524,0.908961448,
,,,,,,,
Ntf-2,1285,0.100755496,6.047526024,0.373466078,0.562647844,0.908961448,
,,,,,,,
mip130,2112,0.053424619,7.161141229,0.373380977,0.562691108,0.908961448,
,,,,,,,
T-cp1_v2,1075,0.059630081,7.784502032,0.372938192,0.562916321,0.908961448,
,,,,,,,
CG6903,2165,-0.099333481,4.464837875,0.372928222,0.562921395,0.908961448,
,,,,,,,
Trs20,262,0.072026381,4.394960526,0.372556606,0.563110558,0.908961448,
,,,,,,,
CG32732,2151,0.056006673,6.291826516,0.372158535,0.563313336,0.908961448,
,,,,,,,
Ublcp1,1368,0.056013823,7.997873021,0.371779722,0.563506445,0.908961448,
,,,,,,,
lds,3457,0.069340586,7.360394735,0.37168316,0.563555692,0.908961448,
,,,,,,,
mrj,2758,0.082478765,8.004985742,0.371661944,0.563566513,0.908961448,
,,,,,,,
CG16734,1577,0.053048507,7.388785583,0.371614621,0.563590652,0.908961448,
,,,,,,,
capu,4855,0.146027144,5.243998044,0.37134615,0.563727638,0.908961448,
,,,,,,,
CG4729,2086,-0.074415799,8.190899686,0.37087266,0.563969405,0.908961448,
,,,,,,,
CG6364,1317,0.050730162,6.685736879,0.370628962,0.564093923,0.908961448,
,,,,,,,
CG13865,997,-0.061784288,6.276094102,0.37054319,0.564137762,0.908961448,
,,,,,,,
Sirt2,1560,-0.080467265,5.79263906,0.370451305,0.564184733,0.908961448,
,,,,,,,
dally,2924,0.055365285,5.352821437,0.370436178,0.564192467,0.908961448,
,,,,,,,
CenB1A_v2,723,0.052249183,5.754516335,0.370071203,0.564379128,0.909030393,
,,,,,,,
E2f1,3508,0.095564413,7.175592535,0.369813963,0.564510767,0.909030393,
,,,,,,,
Jarid2,7038,0.051139543,8.263391952,0.368569326,0.565148603,0.90950958,
,,,,,,,
rush,1652,0.057533462,6.545200413,0.368568701,0.565148923,0.90950958,
,,,,,,,
DCX-EMAP,4221,-0.13798126,7.264008795,0.368347928,0.56526222,0.90950958,
,,,,,,,
Atg4b,2532,0.055131817,4.812421244,0.368158158,0.565359645,0.90950958,
,,,,,,,
CG5846,757,0.066102733,3.920036385,0.367747227,0.565570731,0.909627408,
,,,,,,,
l(2)34Fc,841,-0.053789707,5.843618355,0.366726178,0.566095938,0.910250267,
,,,,,,,
Hrs,908,0.054771778,5.847280059,0.365872371,0.566535907,0.910735797,
,,,,,,,
Coprox,1474,0.056970959,6.057652813,0.365558544,0.566697803,0.910768738,
,,,,,,,
CG14881,1096,0.070875955,4.195504906,0.365297721,0.56683243,0.910768738,
,,,,,,,
CG7504,5104,0.057115698,7.503158077,0.364425353,0.567283203,0.910808081,
,,,,,,,
CG5281,1647,-0.061106904,6.275517382,0.364211098,0.567394029,0.910808081,
,,,,,,,
FBgn0033340 eval 2e-06,305,0.073073187,5.131609748,0.364060122,0.567472151,0.910808081,
,,,,,,,
CG30089,2769,-0.082625998,3.000037127,0.363950099,0.567529096,0.910808081,
,,,,,,,
CG5004,1635,0.11869297,6.782361735,0.363706934,0.567654995,0.910808081,
,,,,,,,
CG30159,1166,0.055918303,5.619929577,0.362947938,0.568048343,0.910808081,
,,,,,,,
CG18619,922,0.062343065,4.345430629,0.362767824,0.568141771,0.910808081,
,,,,,,,
mop,5847,0.106054881,8.023092265,0.362328817,0.568369628,0.910808081,
,,,,,,,
porin,1482,-0.079661753,8.335513456,0.362303061,0.568383002,0.910808081,
,,,,,,,
ncm,3446,0.057707542,6.861784639,0.362256348,0.568407259,0.910808081,
,,,,,,,
Vps26,3042,0.057648084,6.993444855,0.362056871,0.568510872,0.910808081,
,,,,,,,
CG15445,1979,-0.066834607,6.207496081,0.362029441,0.568525123,0.910808081,
,,,,,,,
AdSS,2406,-0.060895038,8.206681369,0.361605805,0.568745311,0.910808081,
,,,,,,,
CG2182_v2,1228,0.053408981,7.732549981,0.361451254,0.568825685,0.910808081,
,,,,,,,
flw,3194,0.069199379,7.04264275,0.361256025,0.568927248,0.910808081,
,,,,,,,
CG4686,966,-0.056742028,7.569725972,0.358902303,0.570154737,0.912477142,
,,,,,,,
CG18659_v3,4236,-0.048588385,6.957043565,0.358727043,0.57024636,0.912477142,
,,,,,,,
Trf2,2989,-0.086850274,8.487968622,0.358287588,0.57047624,0.912623687,
,,,,,,,
CG31510_v2,2613,0.07156467,9.796103908,0.356823288,0.571243638,0.912905492,
,,,,,,,
CG11418,1892,-0.076350679,6.542650291,0.356271719,0.571533267,0.912905492,
,,,,,,,
Spn55B,2451,0.050368031,6.598699995,0.356242625,0.571548553,0.912905492,
,,,,,,,
Khc,5395,0.083529871,7.812708822,0.355852511,0.571753603,0.912905492,
,,,,,,,
CG15236,1843,-0.091824346,2.291964026,0.355830383,0.571765238,0.912905492,
,,,,,,,
Klc_v2,2489,0.091805295,7.50703359,0.355768036,0.571798025,0.912905492,
,,,,,,,
CG5516,551,-0.109020789,4.089100221,0.355689642,0.571839255,0.912905492,
,,,,,,,
CG31886,2805,0.07803609,5.531942406,0.355364386,0.572010388,0.912905492,
,,,,,,,
trio,7476,0.092116747,7.747200452,0.355231327,0.572080428,0.912905492,
,,,,,,,
His4:CG33875_v2,919,0.059504306,6.95444798,0.354852583,0.572279893,0.912905492,
,,,,,,,
CG7739,2195,0.052382693,7.155589018,0.354297426,0.572572533,0.912905492,
,,,,,,,
CG3714,2766,-0.062152891,6.697245672,0.353963357,0.572748785,0.912905492,
,,,,,,,
Pdcd4,2883,0.062703389,7.606481935,0.353907721,0.572778149,0.912905492,
,,,,,,,
CG34015,638,0.054376017,4.993906457,0.353692968,0.572891524,0.912905492,
,,,,,,,
CG3542_v2,1115,0.063747122,6.402398268,0.353617673,0.572931286,0.912905492,
,,,,,,,
mbt,3589,0.051576896,8.032914448,0.353397628,0.573047521,0.912905492,
,,,,,,,
CalpC_v2,1405,0.085911767,3.442828398,0.353143294,0.573181931,0.912905492,
,,,,,,,
CG8475,3374,-0.056766386,7.559522208,0.353034696,0.573239344,0.912905492,
,,,,,,,
NELF-B,1905,0.065770774,6.911713283,0.352877296,0.573322578,0.912905492,
,,,,,,,
mtm,2212,-0.062934437,6.302228768,0.352472164,0.573536933,0.912905492,
,,,,,,,
CG3499,2454,0.059824369,7.809448873,0.352433245,0.573557535,0.912905492,
,,,,,,,
CG10512,1797,-0.061790698,6.050804026,0.351821657,0.573881474,0.913200831,
,,,,,,,
nompA_v2,819,0.119039481,0.82761475,0.350029762,0.57483284,0.913610412,
,,,,,,,
Nhe1,2971,-0.060708251,6.044776336,0.349989586,0.574854209,0.913610412,
,,,,,,,
CG9186,1036,0.074262199,4.411790743,0.349784674,0.574963225,0.913610412,
,,,,,,,
CG43736,4393,0.070100401,7.440923217,0.34961162,0.575055327,0.913610412,
,,,,,,,
Vap-33B,2118,0.049468805,6.701731972,0.349151276,0.575300484,0.913610412,
,,,,,,,
CG3860,562,-0.099359785,4.48045429,0.349008875,0.575376365,0.913610412,
,,,,,,,
CG3829,2299,0.098218366,2.116943804,0.348588092,0.575600712,0.913610412,
,,,,,,,
por,1147,-0.049981808,6.137507005,0.348490011,0.575653032,0.913610412,
,,,,,,,
Cip4,1393,-0.133684542,5.417930685,0.348370707,0.575716687,0.913610412,
,,,,,,,
CG12090,4704,0.077994872,8.04271596,0.348343388,0.575731266,0.913610412,
,,,,,,,
Mlh1,2461,0.052147595,5.994677734,0.348132468,0.575843846,0.913610412,
,,,,,,,
CG14882,1668,0.055091245,5.299099036,0.348039176,0.575893656,0.913610412,
,,,,,,,
AP-2mu,2392,-0.0631977,8.712766879,0.347694751,0.576077632,0.913610412,
,,,,,,,
CG3071,1643,0.053813057,5.628560392,0.347668333,0.576091748,0.913610412,
,,,,,,,
Ten-m_v14,955,0.20826083,0.92266168,0.347436671,0.576215568,0.913610412,
,,,,,,,
Atox1,476,0.078085228,4.881502722,0.345888015,0.577044771,0.914705058,
,,,,,,,
CG3337,814,-0.076355419,4.909805998,0.345629965,0.577183189,0.914705058,
,,,,,,,
GlyP,3868,0.075818215,8.309901111,0.34484641,0.577603924,0.915152052,
,,,,,,,
Sema-5c_v2,5006,0.058601656,6.044113034,0.343585147,0.578282555,0.915952993,
,,,,,,,
CG15097_v3,1576,0.052586409,6.047928643,0.343391227,0.578387047,0.915952993,
,,,,,,,
grp,2149,0.05903194,8.170590119,0.342996575,0.578599827,0.916070119,
,,,,,,,
fidipidine,2043,-0.069906608,6.321683002,0.342394104,0.57892498,0.916268542,
,,,,,,,
CG9865,2033,-0.05487688,5.746186361,0.342249924,0.579002852,0.916268542,
,,,,,,,
r-l,1765,-0.067123398,6.726952248,0.341500405,0.579408035,0.916566427,
,,,,,,,
DCP1,2092,0.062016602,7.600847892,0.341338891,0.579495428,0.916566427,
,,,,,,,
CG5245,1696,-0.073894496,6.066268543,0.341131337,0.579607774,0.916566427,
,,,,,,,
CG14619,3844,-0.082407544,8.113815788,0.340493322,0.579953417,0.916893292,
,,,,,,,
hd,1912,-0.079854929,7.998161934,0.340048184,0.580194834,0.91705526,
,,,,,,,
CG6847,3610,0.052364472,6.159084723,0.338812462,0.580866157,0.917308514,
,,,,,,,
CG4743,805,-0.05755912,5.714927023,0.338560388,0.581003306,0.917308514,
,,,,,,,
FBgn0026402 eval 2e-04,247,0.08180223,2.5901377,0.338411803,0.581084181,0.917308514,
,,,,,,,
TM9SF4,2853,-0.074591306,6.393214367,0.337506539,0.581577446,0.917308514,
,,,,,,,
U2af38,888,-0.056335878,7.942714631,0.337311844,0.581683651,0.917308514,
,,,,,,,
CG14103,1355,0.069451109,5.732399247,0.336826921,0.581948357,0.917308514,
,,,,,,,
CG14544,1020,0.063587397,5.052171604,0.336770465,0.581979191,0.917308514,
,,,,,,,
